stage,action,reason,product_id,name,price,reviews_count,detail
2_dedup,merged,duplicate_sku,102175971,"Влажные салфетки Flovell Care 120 шт, розовые",399,19955,2 строк → 1; min_price=399; best_merchant='12650053'
2_dedup,merged,duplicate_sku,102175971,"Влажные салфетки Flovell Care 120 шт, розовые",399,19955,2 строк → 1; min_price=399; best_merchant='12650053'
2_dedup,merged,duplicate_sku,107070922,"Тряпка универсальная Santex Allzwecktuch 3 шт, вискоза",399,478,2 строк → 1; min_price=399; best_merchant='Magnum'
2_dedup,merged,duplicate_sku,107070922,"Тряпка универсальная Santex Allzwecktuch 3 шт, вискоза",399,478,2 строк → 1; min_price=399; best_merchant='Magnum'
2_dedup,merged,duplicate_sku,112663381,Clean&Fresh таблетки Lemon 20 г 60 шт,4540,122,2 строк → 1; min_price=4540; best_merchant='30272567'
2_dedup,merged,duplicate_sku,112663381,Clean&Fresh таблетки Lemon 20 г 60 шт,4540,122,2 строк → 1; min_price=4540; best_merchant='30272567'
2_dedup,merged,duplicate_sku,151032267,"MILDOM органайзер универсальный мультиколор, 1 шт",990,681,2 строк → 1; min_price=990; best_merchant='15916448'
2_dedup,merged,duplicate_sku,151032267,"MILDOM органайзер универсальный мультиколор, 1 шт",990,681,2 строк → 1; min_price=990; best_merchant='15916448'
2_dedup,merged,duplicate_sku,114508456,Гель для стирки 4You Свежесть сирени 5 л,2899,5534,2 строк → 1; min_price=2899; best_merchant='30467784'
2_dedup,merged,duplicate_sku,114508456,Гель для стирки 4You Свежесть сирени 5 л,2899,5534,2 строк → 1; min_price=2899; best_merchant='30467784'
2_dedup,merged,duplicate_sku,100027321,"Электростанция бензиновая Mateus 6.5 кВт 3 (380/220 В), 6.5 GFE3 MS01108",350000,14,2 строк → 1; min_price=350000; best_merchant='30434132'
2_dedup,merged,duplicate_sku,100027321,"Электростанция бензиновая Mateus 6.5 кВт 3 (380/220 В), 6.5 GFE3 MS01108",350000,14,2 строк → 1; min_price=350000; best_merchant='30434132'
2_dedup,merged,duplicate_sku,115905044,Воздуходувка Huter 2150 кВт 2150 л.с. 1350 куб. м/ч,75590,24,2 строк → 1; min_price=75590; best_merchant='1134011'
2_dedup,merged,duplicate_sku,115905044,Воздуходувка Huter 2150 кВт 2150 л.с. 1350 куб. м/ч,75590,24,2 строк → 1; min_price=75590; best_merchant='1134011'
2_dedup,merged,duplicate_sku,101833618,"HAPPY KID Сейф, пластик",2687,219,2 строк → 1; min_price=2687; best_merchant='30291782'
2_dedup,merged,duplicate_sku,101833618,"HAPPY KID Сейф, пластик",2687,219,2 строк → 1; min_price=2687; best_merchant='30291782'
2_dedup,merged,duplicate_sku,132455305,Утяжеленное одеяло Eliv 150х200 см весом 9.1 кг,39100,27,2 строк → 1; min_price=39100; best_merchant='3018004'
2_dedup,merged,duplicate_sku,132455305,Утяжеленное одеяло Eliv 150х200 см весом 9.1 кг,39100,27,2 строк → 1; min_price=39100; best_merchant='3018004'
2_dedup,merged,duplicate_sku,100189658,Стиральный порошок Ariel Lenor Effect автомат 3 кг,3742,232,2 строк → 1; min_price=3742; best_merchant='30317854'
2_dedup,merged,duplicate_sku,100189658,Стиральный порошок Ariel Lenor Effect автомат 3 кг,3742,232,2 строк → 1; min_price=3742; best_merchant='30317854'
2_dedup,merged,duplicate_sku,110372858,"Сушилка Two Hands Up отдельностоящая многоярусная ,металл, пластик",16990,92,2 строк → 1; min_price=16990; best_merchant='5634002'
2_dedup,merged,duplicate_sku,110372858,"Сушилка Two Hands Up отдельностоящая многоярусная ,металл, пластик",16990,92,2 строк → 1; min_price=16990; best_merchant='5634002'
2_dedup,merged,duplicate_sku,116998475,Модульная картина Государственная символика Казахстана на подрамнике 100x60 см,7586,63,2 строк → 1; min_price=7586; best_merchant='30112650'
2_dedup,merged,duplicate_sku,116998475,Модульная картина Государственная символика Казахстана на подрамнике 100x60 см,7586,63,2 строк → 1; min_price=7586; best_merchant='30112650'
2_dedup,merged,duplicate_sku,104830491,"Мыло хозяйственное Аромика с лимоном жидкое 1,1 л",1100,157,2 строк → 1; min_price=1100; best_merchant='1359004'
2_dedup,merged,duplicate_sku,104830491,"Мыло хозяйственное Аромика с лимоном жидкое 1,1 л",1100,157,2 строк → 1; min_price=1100; best_merchant='1359004'
6_outliers,flagged,abnormal_delta_reviews,102175971,"Влажные салфетки Flovell Care 120 шт, розовые",399,19955,Δreviews=52 > threshold=9 (Q3+3.0·IQR)
6_outliers,flagged,abnormal_delta_reviews,114269290,"Отбеливатель TAZA Кислородный эко порошок, 1000 мл",2699,8240,Δreviews=21 > threshold=9 (Q3+3.0·IQR)
6_outliers,flagged,abnormal_delta_reviews,101027555,"Бассейн каркасный Bestway 56677, 305x305x76 см",35217,872,Δreviews=32 > threshold=9 (Q3+3.0·IQR)
